time, Quad.Est.E.Pos, Quad.Est.S.Z
1.059994,0.123696,0.288280
1.064994,0.124273,0.288473
1.069994,0.124625,0.288602
1.074994,0.125190,0.288796
1.079994,0.125581,0.288927
1.084995,0.126138,0.289124
1.089995,0.126497,0.289256
1.094995,0.127019,0.289455
1.099995,0.127344,0.289588
1.104996,0.157404,0.285608
1.109996,0.157640,0.285729
1.114996,0.158059,0.285911
1.119996,0.158351,0.286033
1.124997,0.158838,0.286218
1.129997,0.159192,0.286341
1.134997,0.159757,0.286527
1.139997,0.160143,0.286652
1.144997,0.160703,0.286841
1.149998,0.161064,0.286967
1.154998,0.161600,0.287157
1.159998,0.161952,0.287285
1.164998,0.162520,0.287478
1.169999,0.162904,0.287607
1.174999,0.163496,0.287802
1.179999,0.163866,0.287932
1.184999,0.164422,0.288129
1.190000,0.164707,0.288261
1.195000,0.165210,0.288460
1.200000,0.165550,0.288594
1.205000,0.161497,0.284646
1.210001,0.161789,0.284767
1.215001,0.162144,0.284950
1.220001,0.162377,0.285072
1.225001,0.162707,0.285257
1.230001,0.162909,0.285381
1.235002,0.163190,0.285567
1.240002,0.163360,0.285692
1.245002,0.163663,0.285881
1.250002,0.163866,0.286007
1.255003,0.164186,0.286198
1.260003,0.164399,0.286326
1.265003,0.164714,0.286519
1.270003,0.164911,0.286648
1.275004,0.165257,0.286843
1.280004,0.165491,0.286973
1.285004,0.165859,0.287170
1.290004,0.166088,0.287302
1.295004,0.166421,0.287501
1.300005,0.166619,0.287635
1.305005,0.157059,0.283719
1.310005,0.157090,0.283840
1.315005,0.157069,0.284023
1.320006,0.157006,0.284146
1.325006,0.156934,0.284331
1.330006,0.156834,0.284455
1.335006,0.156735,0.284642
1.340007,0.156639,0.284767
1.345007,0.156500,0.284956
1.350007,0.156395,0.285082
1.355007,0.156244,0.285273
1.360008,0.156118,0.285401
1.365008,0.155909,0.285594
1.370008,0.155733,0.285723
1.375008,0.155488,0.285918
1.380008,0.155293,0.286049
1.385009,0.155019,0.286246
1.390009,0.154759,0.286378
1.395009,0.154494,0.286577
1.400009,0.154252,0.286710
1.405010,0.134149,0.282825
1.410010,0.134023,0.282946
1.415010,0.133783,0.283130
1.420010,0.133605,0.283253
1.425011,0.133354,0.283438
1.430011,0.133209,0.283562
1.435011,0.132930,0.283749
1.440011,0.132739,0.283875
1.445011,0.132429,0.284064
1.450012,0.132211,0.284191
1.455012,0.131886,0.284382
1.460012,0.131671,0.284510
1.465012,0.131334,0.284703
1.470013,0.131125,0.284832
1.475013,0.130784,0.285027
1.480013,0.130569,0.285158
1.485013,0.130244,0.285355
1.490014,0.130019,0.285487
1.495014,0.129688,0.285686
1.500014,0.129451,0.285819
1.505014,0.167528,0.281963
1.510015,0.167626,0.282085
1.515015,0.167757,0.282268
1.520015,0.167821,0.282391
1.525015,0.167925,0.282577
1.530015,0.167989,0.282701
1.535016,0.168092,0.282889
1.540016,0.168177,0.283014
1.545016,0.168308,0.283204
1.550016,0.168399,0.283331
1.555017,0.168529,0.283522
1.560017,0.168602,0.283650
1.565017,0.168726,0.283843
1.570017,0.168832,0.283973
1.575018,0.168945,0.284168
1.580018,0.169002,0.284298
1.585018,0.169073,0.284495
1.590018,0.169116,0.284628
1.595019,0.169177,0.284827
1.600019,0.169223,0.284960
1.605019,0.203413,0.281132
1.610019,0.203848,0.281254
1.615019,0.204482,0.281437
1.620020,0.204895,0.281561
1.625020,0.205505,0.281747
1.630020,0.205918,0.281871
1.635020,0.206542,0.282059
1.640021,0.206966,0.282184
1.645021,0.207585,0.282374
1.650021,0.207987,0.282501
1.655021,0.208548,0.282692
1.660022,0.208877,0.282821
1.665022,0.209342,0.283014
1.670022,0.209655,0.283144
1.675022,0.210123,0.283339
1.680022,0.210442,0.283470
1.685023,0.210956,0.283667
1.690023,0.211304,0.283799
1.695023,0.211835,0.283998
